"","trial","binnumb","binstart","binend","in_testing","trialstart","offertime","offer_type","completiontime","nosepokestart","nosepokeend","CA1.1","CA1.2","CA1.3","CA1.4","CA1.5","CA1.6","CA1.7","CA1.8","CA1.9","CA1.10","CA1.11","CA1.12","CA1.13","CA1.14","CA1.15","CA3.1","CA3.2","CA3.3","CA3.4","CA3.5","CA3.6","CA3.7","CA3.8","CA3.9","CA3.10","CA3.11","CA3.12","CA3.13","CA3.14","CA3.15","CA3.16","CA3.17","CA3.18","CA3.19","CA3.20","CA3.21"
"41",3,41,477.669925,478.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,0,0,0,0,5,0,3,1,1,0,0,4,4,1,1,0,6,4,12,16,6,0,12,15,17,6,15,0,0,0,1,0,0,14,8
"42",3,42,478.169925,478.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,0,0,0,0,4,1,1,0,3,0,0,2,6,3,1,1,5,1,8,14,2,0,9,17,12,2,9,1,0,0,5,0,1,13,9
"43",3,43,478.669925,479.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,3,0,0,0,0,3,2,2,0,7,0,0,1,3,1,1,1,6,1,5,18,1,0,11,22,14,7,10,1,0,0,5,0,2,2,11
"44",3,44,479.169925,479.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,2,1,1,0,0,3,2,7,0,1,1,0,4,3,3,4,4,8,4,8,12,5,0,10,15,8,7,14,1,0,0,3,0,1,6,12
"45",3,45,479.669925,480.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,3,0,0,0,0,0,1,3,0,5,0,0,3,3,5,17,12,6,1,7,18,6,0,17,22,12,5,8,0,0,0,8,0,0,10,11
"46",3,46,480.169925,480.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,1,1,0,0,3,0,2,0,1,1,0,3,4,3,24,11,14,4,20,21,8,0,17,16,12,2,11,1,0,0,5,7,2,16,3
"47",3,47,480.669925,481.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,3,2,0,0,10,0,2,0,0,0,1,6,0,1,3,5,5,1,14,19,7,0,17,0,16,8,7,2,0,0,1,0,10,7,7
"48",3,48,481.169925,481.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,3,2,0,0,1,6,2,1,0,1,0,2,3,14,2,1,1,4,1,5,9,14,0,10,1,8,2,6,0,0,0,3,0,6,9,6
"49",3,49,481.669925,482.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,1,3,0,0,0,4,3,0,0,0,0,2,4,7,0,1,0,7,0,1,7,3,0,19,2,6,1,14,1,0,0,5,0,9,10,3
"50",3,50,482.169925,482.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1
"51",7,1,587.365125,587.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,0,1,0,0,4,0,2,0,1,0,1,1,0,15,1,4,7,1,16,19,8,0,17,2,3,5,10,1,0,0,5,0,3,11,10
"52",7,2,587.865125,588.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,0,0,0,0,7,1,2,0,3,0,0,1,4,4,3,4,4,0,10,20,7,0,13,1,5,3,10,1,0,0,1,0,1,8,4
"53",7,3,588.365125,588.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,1,0,0,1,2,0,2,0,1,0,0,2,0,5,3,4,2,1,15,9,4,0,14,4,4,4,5,0,1,0,2,0,1,6,9
"54",7,4,588.865125,589.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,2,0,0,0,1,1,0,0,1,0,0,2,0,4,1,1,5,1,1,10,1,0,13,2,3,3,15,2,1,0,3,0,1,8,7
"55",7,5,589.365125,589.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,4,2,1,0,1,0,4,0,0,0,0,0,0,1,3,3,3,2,0,1,7,6,0,11,5,2,2,14,0,1,0,1,0,1,4,8
"56",7,6,589.865125,590.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,5,0,0,0,2,3,3,0,0,0,1,0,2,2,2,2,3,2,2,15,3,2,12,11,4,1,14,1,0,0,0,1,4,7,4
"57",7,7,590.365125,590.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,3,0,0,0,0,8,3,0,0,0,0,1,5,2,1,2,4,1,3,8,5,0,10,12,3,3,12,0,0,0,0,4,1,2,9
"58",7,8,590.865125,591.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,3,0,1,0,1,0,2,0,0,0,0,3,2,4,1,1,6,0,1,12,3,0,9,11,2,5,1,0,0,0,0,0,0,4,7
"59",7,9,591.365125,591.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,2,0,0,0,0,7,6,0,0,0,0,0,0,0,5,1,0,5,1,7,15,3,0,10,4,6,3,12,0,0,0,0,0,0,4,4
"60",7,10,591.865125,592.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,1,0,0,0,3,9,1,0,0,1,1,0,2,2,0,0,6,1,5,14,4,0,8,5,8,2,11,0,0,0,0,0,2,6,3
"61",7,11,592.365125,592.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,2,0,0,2,0,2,0,0,0,0,0,0,0,3,3,4,6,0,7,16,6,0,15,3,9,0,3,2,0,0,0,0,0,3,5
"62",7,12,592.865125,593.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,0,0,0,0,0,8,0,0,0,0,0,3,1,0,0,0,4,1,3,3,3,0,6,4,5,2,6,1,1,0,0,0,2,5,2
"63",7,13,593.365125,593.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,2,1,0,0,0,0,14,0,0,1,0,0,1,1,4,2,0,5,0,0,6,4,0,13,15,4,7,18,0,0,0,0,0,0,1,2
"64",7,14,593.865125,594.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,4,0,0,1,1,1,0,0,2,0,0,0,1,2,2,5,6,0,11,17,4,0,14,7,11,2,3,1,0,0,0,1,0,8,8
"65",7,15,594.365125,594.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,0,0,0,0,1,3,1,0,2,0,1,1,2,4,2,0,4,1,6,10,14,0,12,3,6,4,8,1,0,0,0,0,1,2,6
"66",7,16,594.865125,595.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,2,0,0,0,3,5,2,0,4,0,1,0,3,2,4,0,6,2,1,7,4,0,13,17,4,2,16,0,0,0,4,0,5,5,11
"67",7,17,595.365125,595.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,4,2,0,2,4,0,0,0,2,0,0,2,3,4,2,3,3,1,3,11,4,0,16,8,2,2,6,0,0,0,8,0,5,5,3
"68",7,18,595.865125,596.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,0,0,0,0,4,0,1,0,3,0,0,1,3,2,0,8,7,0,11,15,6,0,12,14,10,5,10,0,0,0,5,0,4,8,10
"69",7,19,596.365125,596.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,1,2,0,0,3,1,1,0,0,0,2,1,4,3,3,1,10,2,15,13,6,0,15,3,5,5,5,0,0,0,10,0,7,14,11
"70",7,20,596.865125,597.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,0,1,0,1,3,0,1,0,1,0,0,0,4,1,8,7,11,3,10,9,3,0,9,1,9,3,13,0,0,0,6,0,3,14,16
"71",7,21,597.365125,597.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,0,1,0,1,2,1,1,0,4,0,0,2,1,3,3,2,10,1,19,17,9,0,13,6,12,7,13,2,0,0,7,0,1,8,12
"72",7,22,597.865125,598.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,0,0,0,0,1,1,0,0,7,0,1,0,2,1,1,1,5,0,5,13,2,0,8,6,6,3,10,0,1,0,3,0,1,5,14
"73",7,23,598.365125,598.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,1,0,0,1,0,5,0,0,0,0,0,0,3,3,3,0,5,1,1,8,0,0,14,1,4,6,15,0,0,0,0,0,0,3,3
"74",7,24,598.865125,599.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,0,0,0,0,1,7,3,0,2,0,0,0,3,3,2,1,9,1,3,7,1,0,14,4,3,6,9,1,0,0,1,0,6,5,10
"75",7,25,599.365125,599.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,0,0,0,0,2,5,2,0,3,0,3,0,2,2,2,0,4,2,1,7,0,0,10,2,2,2,9,0,0,0,4,0,5,2,9
"76",7,26,599.865125,600.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,3,1,0,0,0,0,1,0,0,5,1,2,4,2,4,1,0,2,1,10,15,8,0,9,12,5,2,7,1,0,0,9,0,8,13,10
"77",7,27,600.365125,600.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,0,0,0,0,3,0,2,0,0,0,1,4,0,5,0,0,7,0,13,14,9,0,12,8,14,1,8,2,0,0,9,0,1,18,6
"78",7,28,600.865125,601.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,0,0,0,1,5,2,2,0,3,1,0,2,1,2,2,1,9,2,16,15,4,0,10,0,13,3,7,3,1,0,0,0,1,9,12
"79",7,29,601.365125,601.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,2,1,0,0,0,6,4,4,0,3,0,0,1,8,2,0,1,7,1,8,8,1,0,11,2,7,2,8,2,0,0,7,0,2,10,8
"80",7,30,601.865125,602.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,4,1,0,0,1,0,1,0,1,0,2,1,8,0,2,2,7,1,7,17,7,0,10,2,11,1,7,0,0,0,5,0,2,4,6
"81",7,31,602.365125,602.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,0,2,0,0,7,1,2,0,1,2,1,1,9,1,6,0,4,1,6,16,2,0,13,4,7,5,6,1,0,0,6,0,9,13,11
"82",7,32,602.865125,603.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,0,0,0,1,1,1,1,0,1,0,1,2,2,0,7,12,11,3,14,13,4,0,13,1,9,3,6,0,2,0,3,0,5,15,11
"83",7,33,603.365125,603.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,2,0,1,0,1,5,3,2,1,0,0,0,3,5,0,12,16,8,4,9,14,3,0,10,1,7,5,12,3,0,0,1,0,5,11,6
"84",7,34,603.865125,604.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,1,0,0,0,6,4,2,0,2,0,0,0,2,4,3,16,4,1,9,12,1,0,13,1,8,4,9,0,0,0,5,0,5,13,9
"85",7,35,604.365125,604.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,0,3,1,0,1,0,2,0,0,0,2,2,0,6,1,0,5,0,9,8,2,0,11,3,5,2,4,2,1,0,8,0,2,13,14
"86",7,36,604.865125,605.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,2,1,1,0,0,3,1,1,0,0,1,2,4,2,14,9,4,10,2,12,17,8,0,11,8,5,1,8,2,0,0,2,0,2,14,10
